# benchmark: bench_ring
# cpu: Apple M5
# cores: 10
# compiler: clang 21.0.0 (clang-2100.1.1.101)
# build: release (NDEBUG)
# note: macOS gives affinity hints only, and has no isolcpus or
#       performance governor. Tail latency here includes scheduler
#       noise; run on isolated Linux cores for publishable tails.
# timestamp: 2026-08-31T00:01:17.062Z
# elements: 6000000, element size: 64 B
# latency columns are nanoseconds of transit (publish -> consume)

## single thread, no contention
spsc_1thread_2^10           ,   430464983,       -,     2.3 ns/op pair
spsc_1thread_2^12           ,   460715977,       -,     2.2 ns/op pair
spsc_1thread_2^14           ,   605260684,       -,     1.7 ns/op pair
spsc_1thread_2^16           ,   697958471,       -,     1.4 ns/op pair
spsc_1thread_2^18           ,   774118634,       -,     1.3 ns/op pair
spsc_1thread_2^20           ,   703901739,       -,     1.4 ns/op pair

## two threads, unpaced (producer runs flat out; latency includes queueing)
case                        ,       ops/s,     min,     p50,     p99,   p99.9,  p99.99,     max,      mean
spsc_2^10                   ,    13694245,      41,     125,    3007,   12287,   28671,   39334,     218.4
spsc_2^12                   ,    13697567,      41,     125,    4543,   16383,   41471,   47625,     262.7
spsc_2^14                   ,    13677761,      41,     125,    4895,   21503,   34047,   41000,     284.5
spsc_2^16                   ,    13587903,      41,     125, 1753087, 3850239, 4227071, 4224250,   53822.7
spsc_2^18                   ,    14909294,      41,     167,   65535,   87551,  115711,  126917,    5421.9
spsc_2^20                   ,    13724100,      41,     125,    3423,   20479,   37631,   44625,     244.9
mutex_queue                 ,     9659458,     250,  839679,12910591,13238271,13303807,13275250, 2678002.8

## two threads, paced to 2 Mpps (transit latency, no queueing)
case                        ,       ops/s,     min,     p50,     p99,   p99.9,  p99.99,     max,      mean
spsc_2^16_paced             ,     1999962,      41,      83,     167,    7167,   26367,   38875,     126.2
mutex_queue_paced           ,     1999947,     167,    3263,   11839,   19583,   33023,   79084,    3929.0
